make,model_range,ids_code,description,model_year,model_year_decimal,body_style,long_description,model_group,model_tree_description,special_edition,vehicle_tree_description,current_vehicle,commercial,reclaim_vat,basic_price,manufacturers_delivery_price,mrp,p11d_price,date_of_introduction,end_of_production,price_list_date,door,engine_size,insurance_group,fuel_type,transmission_type,mpg_urban,mpg_extra_urban,mpg_combined,co2_emissions,euro_emissions,bhp,power_ps,power_kw,torque,rpm_for_torque,length,width,height,gross_vehicle_weight,unladen_weight,towing_weight_braked,towing_weight_unbraked,wheel_base,ground_clearance,fuel_tank_size,boot_capacity,maximum_speed,acceleration_0_100_kph,acceleration_0_60_mph,front_tyres,rear_tyres,spare_tyre,front_brakes,rear_brakes,servicing_indication,image_filename,gears,axles,manufacturer_model_description,seats,otr_price,win_commercial,parent_ids_code,trim,vehicle_factory_code,fleetware_code
Ford,Ford TOURNEO CONNECT model range,FO043893,GRAND TOURNEO CONNECT 2.0 EBL 122 TNM,24A,2024.01,Estate,Grand Tourneo Connect 2.0 EcoBlue 122 Titanium,Tourneo Connect,Tourneo Connect,FALSE,Grand 2.0 EcoBlue 122 Titanium,TRUE,FALSE,FALSE,27466,20.83,32959.2,32984.2,16/01/2024,NULL,16/01/2024,5,1995,9,Diesel,Manual,NULL,NULL,NULL,NULL,6,120,121.67,83.86,199.2,NULL,4418,2137,1852,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,NULL,NULL,205/60R16 H,205/60R16 H,Puncture repair kit,NULL,NULL,FALSE,tourneo-connect-fogt-24a.jpg,6,NULL,Tourneo Connect,5,33309.2,0,FO040792,TITANIUM,NULL,194445
Ford,Ford TOURNEO CONNECT model range,FO043894,GRAND TOURNEO CNNCT 2.0 EBL 122 TNM AU,24A,2024.01,Estate,Grand Tourneo Connect 2.0 EcoBlue 122 Titanium Auto,Tourneo Connect,Tourneo Connect,FALSE,Grand 2.0 EcoBlue 122 Titanium Auto,TRUE,FALSE,FALSE,28717,20.83,34460.4,34485.4,16/01/2024,NULL,16/01/2024,5,1995,9,Diesel,Automatic,NULL,NULL,NULL,NULL,6,120,121.67,83.86,199.2,NULL,4418,2137,1852,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,NULL,NULL,205/60R16 H,205/60R16 H,Puncture repair kit,NULL,NULL,FALSE,tourneo-connect-fogt-24a.jpg,7,NULL,Tourneo Connect,5,34810.4,0,FO040793,TITANIUM,NULL,194446
Ford,Ford TOURNEO CONNECT model range,FO043895,TOURNEO CONNECT 2.0 EBL 122 TITANIUM,24A,2024.01,Estate,Tourneo Connect 2.0 EcoBlue 122 Titanium,Tourneo Connect,Tourneo Connect,FALSE,2.0 EcoBlue 122 Titanium,TRUE,FALSE,FALSE,26666,20.83,31999.2,32024.2,16/01/2024,NULL,16/01/2024,5,1995,9,Diesel,Manual,NULL,NULL,NULL,NULL,6,120,121.67,83.86,199.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,NULL,NULL,205/60R16 H,205/60R16 H,Puncture repair kit,NULL,NULL,FALSE,tourneo-connect-fogt-24a.jpg,6,NULL,Tourneo Connect,5,32299.2,0,FO040794,TITANIUM,NULL,194447
Ford,Ford TOURNEO CONNECT model range,FO043896,TOURNEO CONNECT 2.0 EBL 122 TTNM AU,24A,2024.01,Estate,Tourneo Connect 2.0 EcoBlue 122 Titanium Auto,Tourneo Connect,Tourneo Connect,FALSE,2.0 EcoBlue 122 Titanium Auto,TRUE,FALSE,FALSE,27567,20.83,33080.4,33105.4,16/01/2024,NULL,16/01/2024,5,1995,9,Diesel,Automatic,NULL,NULL,NULL,NULL,6,120,121.67,83.86,199.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,NULL,NULL,205/60R16 H,205/60R16 H,Puncture repair kit,NULL,NULL,FALSE,tourneo-connect-fogt-24a.jpg,7,NULL,Tourneo Connect,5,33430.4,0,FO040795,TITANIUM,NULL,194448
Ford,Ford TOURNEO CONNECT model range,FO043897,GRAND TOURNEO CONNECT 2.0 EBL 122 ACTVE,24A,2024.01,Estate,Grand Tourneo Connect 2.0 EcoBlue 122 Active,Tourneo Connect,Tourneo Connect,FALSE,Grand 2.0 EcoBlue 122 Active,TRUE,FALSE,FALSE,28238,20.83,33885.6,33910.6,16/01/2024,NULL,16/01/2024,5,1995,9,Diesel,Manual,NULL,NULL,NULL,NULL,6,120,121.67,83.86,199.2,NULL,4418,2137,1852,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,NULL,NULL,215/55R17 V,215/55R17 V,Puncture repair kit,NULL,NULL,FALSE,tourneo-connect-fogt-24a.jpg,6,NULL,Tourneo Connect,5,34235.6,0,FO040796,ACTIVE,NULL,194449
Ford,Ford TOURNEO CONNECT model range,FO043898,GRAND TOURNEO CNNCT 2.0 EBL 122 ACV AU,24A,2024.01,Estate,Grand Tourneo Connect 2.0 EcoBlue 122 Active Auto,Tourneo Connect,Tourneo Connect,FALSE,Grand 2.0 EcoBlue 122 Active Auto,TRUE,FALSE,FALSE,29489,20.83,35386.8,35411.8,16/01/2024,NULL,16/01/2024,5,1995,9,Diesel,Automatic,NULL,NULL,NULL,NULL,6,120,121.67,83.86,199.2,NULL,4418,2137,1852,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,NULL,NULL,215/55R17 V,215/55R17 V,Puncture repair kit,NULL,NULL,FALSE,tourneo-connect-fogt-24a.jpg,7,NULL,Tourneo Connect,5,35736.8,0,FO040797,ACTIVE,NULL,194450
Ford,Ford TOURNEO CONNECT model range,FO043899,TOURNEO CONNECT 2.0 EBL 122 ACTIVE,24A,2024.01,Estate,Tourneo Connect 2.0 EcoBlue 122 Active,Tourneo Connect,Tourneo Connect,FALSE,2.0 EcoBlue 122 Active,TRUE,FALSE,FALSE,27438,20.83,32925.6,32950.6,16/01/2024,NULL,16/01/2024,5,1995,9,Diesel,Manual,NULL,NULL,NULL,NULL,6,120,121.67,83.86,199.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,NULL,NULL,215/55R17 V,215/55R17 V,Puncture repair kit,NULL,NULL,FALSE,tourneo-connect-fogt-24a.jpg,6,NULL,Tourneo Connect,5,33225.6,0,FO040798,ACTIVE,NULL,194451
Ford,Ford TOURNEO CONNECT model range,FO043900,TOURNEO CONNECT 2.0 EBL 122 ACTV AU,24A,2024.01,Estate,Tourneo Connect 2.0 EcoBlue 122 Activ Auto,Tourneo Connect,Tourneo Connect,FALSE,2.0 EcoBlue 122 Activ Auto,TRUE,FALSE,FALSE,28339,20.83,34006.8,34031.8,16/01/2024,NULL,16/01/2024,5,1995,9,Diesel,Automatic,NULL,NULL,NULL,NULL,6,120,121.67,83.86,199.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,NULL,NULL,215/55R17 V,215/55R17 V,Puncture repair kit,NULL,NULL,FALSE,tourneo-connect-fogt-24a.jpg,7,NULL,Tourneo Connect,5,34356.8,0,FO040799,ACTIVE,NULL,194452
Ford,Ford TOURNEO CONNECT model range,FO043901,GRAND TOURNEO CONCT 1.5 EcBt 114 TNM 7ST,24A,2024.01,Estate,Grand Tourneo Connect 1.5 EcoBoost 114 Titanium 7Seat,Tourneo Connect,Tourneo Connect,FALSE,Grand 1.5 EcoBoost 114 Titanium,TRUE,FALSE,FALSE,26716,20.83,32059.2,32084.2,16/01/2024,NULL,16/01/2024,5,1498,9,Petrol,Manual,NULL,NULL,NULL,NULL,6,112,113.56,78.27,199.2,NULL,4418,2137,1852,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,NULL,NULL,205/60R16 H,205/60R16 H,Puncture repair kit,NULL,NULL,FALSE,tourneo-connect-fogt-24a.jpg,6,NULL,Tourneo Connect,7,32409.2,0,FO040800,TITANIUM,NULL,194453
Ford,Ford TOURNEO CONNECT model range,FO043902,GRAND TOURNEO CNT 1.5EcBt 114 TNM AU 7ST,24A,2024.01,Estate,Grand Tourneo Connect 1.5EcBt 114 Titanium Auto 7Seat,Tourneo Connect,Tourneo Connect,FALSE,Grand 1.5EcBt 114 Titanium Auto,TRUE,FALSE,FALSE,27967,20.83,33560.4,33585.4,16/01/2024,NULL,16/01/2024,5,1498,9,Petrol,Automatic,NULL,NULL,NULL,NULL,6,112,113.56,78.27,199.2,NULL,4418,2137,1852,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,NULL,NULL,205/60R16 H,205/60R16 H,Puncture repair kit,NULL,NULL,FALSE,tourneo-connect-fogt-24a.jpg,7,NULL,Tourneo Connect,7,34320.4,0,FO040801,TITANIUM,NULL,194454
Ford,Ford TOURNEO CONNECT model range,FO043903,TOURNEO CONNECT 1.5 EcBt 114 TTNM 7SEAT,24A,2024.01,Estate,Tourneo Connect 1.5 EcoBoost 114 Titanium 7SEAT,Tourneo Connect,Tourneo Connect,FALSE,1.5 EcoBoost 114 Titanium,TRUE,FALSE,FALSE,26546,20.83,31855.2,31880.2,16/01/2024,NULL,16/01/2024,5,1498,9,Petrol,Manual,NULL,NULL,NULL,NULL,6,112,113.56,78.27,199.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,NULL,NULL,205/60R16 H,205/60R16 H,Puncture repair kit,NULL,NULL,FALSE,tourneo-connect-fogt-24a.jpg,6,NULL,Tourneo Connect,7,32205.2,0,FO040802,TITANIUM,NULL,194455
